#{"t_start": 1741225022.2830396, "env_id": "None"}
r,l,t
-105.12693,2,4.417615
-104.28034,2,4.43319
-105.02035,2,4.4549
-108.48624,3,4.47062
-104.68877,5,4.48693
-107.29532,5,4.48695
-100.02409,18,4.486955
-101.545746,4,4.50134
-105.711,2,4.516477
-106.402855,3,4.53019
-100.61094,7,4.53021
-102.59584,8,4.530216
-102.82147,5,4.544304
-100.3806,4,4.544324
-105.5194,3,4.576111
-99.76184,11,4.576132
-105.23397,8,4.576137
-102.58432,3,4.591537
-103.80486,4,4.591557
-95.48342,11,4.591563
-102.38974,2,4.607343
-104.13552,5,4.607363
-98.34974,7,4.607369
-108.766754,3,4.622934
-104.27217,3,4.622954
-109.848305,9,4.654574
-104.38221,2,4.654594
-104.943825,2,4.6546
-105.12693,2,4.689336
-105.56619,6,4.689357
-105.12693,2,4.689362
-103.553055,2,4.689367
-94.259155,10,4.703406
-103.30335,7,4.717887
-106.9717,7,4.717908
-102.768974,2,4.734368
-103.65568,3,4.734387
-104.96017,3,4.734393
-101.99541,9,4.749701
-104.80803,2,4.74972
-104.42119,2,4.765818
-113.45041,13,4.799124
-100.12155,5,4.812263
-99.58065,6,4.841825
-101.66547,11,4.857249
-106.206474,7,4.857269
-103.911354,4,4.857274
-106.013176,10,4.87611
-104.935326,7,4.877319
-106.15213,3,4.892918
-105.6194,2,4.892937
-108.12497,19,4.892942
-105.027016,3,4.908172
-108.5998,3,4.922877
-110.2936,4,4.922895
-107.42501,3,4.9229
-109.50862,7,4.922905
-106.01593,2,4.922909
-104.09394,2,4.938708
-104.43564,2,4.953964
-104.68674,2,4.953983
-107.19186,3,4.970031
-106.43699,5,4.970049
-104.10631,2,4.970055
-106.735306,5,5.005572
-103.31874,2,5.005591
-112.41814,17,5.005597
-104.284355,21,5.020305
-108.80479,3,5.051388
-113.293495,8,5.051409
-105.76279,3,5.066977
-114.9093,6,5.066998
-121.700424,13,5.099989
-104.256714,10,5.115186
-109.15212,4,5.115207
-103.59522,7,5.115213
-104.07962,2,5.146509
-111.24921,12,5.146529
-102.618416,11,5.146535
-98.13257,9,5.146539
-104.40726,6,5.163598
-105.834755,5,5.196862
-100.950584,8,5.196896
-107.129814,5,5.196904
-104.70175,2,5.196908
-106.8607,3,5.196912
-110.70707,5,5.227042
-106.64549,3,5.242622
-100.39119,7,5.257261
-105.420044,4,5.257282
-103.96291,10,5.257287
-99.93146,8,5.272465
-106.488914,4,5.305924
-100.08918,7,5.305944
-109.609825,3,5.30595
-98.88501,8,5.322513
-104.91684,4,5.322533
-107.57824,4,5.338269
-106.645195,5,5.338288
-108.9733,10,5.353601
-102.49955,4,5.368964
-105.006065,2,5.368983
-106.73505,9,5.368989
-102.86589,4,5.384996
-107.396095,3,5.385016
-103.699684,2,5.399435
-103.59214,2,5.399455
-105.10377,3,5.416784
-103.85912,6,5.416807
-111.225204,8,5.430846
-105.14453,8,5.430865
-106.35385,4,5.445608
-107.88367,3,5.460312
-105.12693,2,5.460333
-111.7782,6,5.47391
-111.12728,5,5.473929
-108.95421,6,5.488699
-106.98336,4,5.52431
-106.68001,3,5.524331
-98.72179,12,5.539298
-101.37387,5,5.539318
-92.96249,31,5.539323
-103.15731,9,5.554888
-108.156395,8,5.569634
-103.44999,5,5.569654
-108.56853,3,5.585281
-106.01764,10,5.585301
-106.9957,7,5.585312
-103.333374,4,5.600583
-105.995415,5,5.600604
-105.12693,2,5.634758
-103.15121,6,5.634779
-104.31745,8,5.650948
-97.76551,7,5.665311
-106.01593,2,5.665332
-107.13775,7,5.679812
-106.01469,6,5.679831
-105.11422,5,5.679837
-103.18606,2,5.695134
-103.56841,7,5.695153
-113.290146,7,5.695159
-106.923195,3,5.71066
-102.68731,2,5.710681
-105.99881,3,5.725706
-108.04142,3,5.725735
-105.35128,2,5.742768
-105.75713,3,5.742789
-103.77953,8,5.758289
-103.39973,2,5.758309
-106.40051,3,5.773146
-109.921036,14,5.787687
-104.00315,3,5.787706
-104.22111,4,5.801912
-98.9908,10,5.801932
-108.74021,6,5.801938
-109.80566,7,5.801942
-106.59406,3,5.816179
-104.81618,2,5.834889
-102.27561,3,5.849768
-101.54831,5,5.864705
-103.95594,3,5.864725
-105.8522,5,5.864731
-104.069725,4,5.925561
-100.72127,11,5.925581
-104.7517,4,5.925586
-108.03807,6,5.925591
-107.87492,10,5.960832
-109.19676,10,5.960852
-104.090096,2,5.960858
-105.12693,2,5.960863
-101.38581,3,5.975769
-104.48198,14,5.975788
-106.01593,2,5.990778
-102.89933,20,6.005239
-104.72725,2,6.00526
-107.22339,6,6.020619
-105.08864,10,6.020639
-105.19051,5,6.035545
-105.12693,2,6.035564
-101.18535,4,6.068165
-104.36562,6,6.068185
-101.54371,5,6.068191
-107.37857,3,6.083354
-103.562836,4,6.083375
-110.24619,10,6.114467
-102.59574,17,6.114487
